name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,10.46,8.33,5.69,14.2,13.24,4345678.7,5560651.333333333,58164413.0,46330420.0,37.63,10,720.39,2,623.88,1,460.63,6.34,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,12.6,6.21,4.45,10.46,12.55,5828719.1,8148936.533333333,102676600.0,50641566.0,150.0,1,1147.52,1,17.21,195,438.24,14.59,True,True,False
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,26.1,23.05,18.21,6.39,6.89,1107708.2,2015038.4333333333,52592503.0,46447979.0,25.48,29,95.21,13,387.85,2,169.51,6.29,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,85.98,69.05,71.33,5.37,7.15,2975150.3,2444009.6333333333,210135948.0,168758865.0,27.79,22,1.25,200,377.67,3,135.57,2.87,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.49,36.8,30.62,7.03,7.18,1879973.1,1511822.3333333333,55166397.0,55639093.0,7.64,99,136.64,3,259.51,6,134.6,2.67,False,True,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,30.33,21.75,17.88,6.5,6.5,10642876.6,9445596.633333333,286484946.0,205437004.0,71.74,3,113.59,5,197.06,11,127.47,10.7,True,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,12.05,11.42,10.67,6.22,6.94,2709160.3,2730915.7666666666,32907535.0,31198437.0,12.51,66,32.56,78,302.34,4,115.8,1.87,False,False,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,30.24,20.7,18.71,5.95,5.35,2855378.2,1648089.8333333333,49838237.0,34123700.0,52.53,6,101.87,7,158.02,17,104.14,11.52,True,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,575.31,494.61,465.54,5.83,5.68,9502987.599999998,8714648.033333333,5013624160.0,4310317205.0,30.95,17,45.65,57,223.64,9,100.08,4.15,True,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.6,15.29,15.01,5.34,7.1,1768525.1,2464737.933333333,33520436.0,37678038.0,-16.1,377,31.91,81,275.69,5,97.17,-1.33,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.3,0.99,0.88,18.96,12.66,36422972.5,64918342.03333333,84393845.0,64150358.0,106.58,2,75.65,23,94.03,56,92.09,3.81,True,True,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,113.76,115.02,108.6,4.65,4.49,2630379.1,1416742.9333333333,161168676.0,162952355.0,-6.35,248,42.15,64,233.12,7,89.64,1.06,False,False,True
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,191.33,161.13,153.97,4.74,4.97,4058277.9,3958413.1666666665,757363191.0,637821093.0,40.97,8,65.7,31,145.48,25,84.05,4.88,True,False,False
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,37.01,32.93,30.39,5.09,5.43,2393682.8,1983373.7666666666,73404663.0,65303573.0,14.87,56,97.6,10,139.55,29,84.0,4.02,False,True,False
