name,description,exchange,industry,close,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,11.73,8.62,5.88,13.9,12.68,4585494.4,3848826.466666667,45146734.0,33173677.0,54.34,6,869.42,2,756.2,1,559.99,7.84,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,13.54,6.59,4.69,9.64,11.68,6141132.1,8316468.1,112604978.0,54837405.0,168.65,1,1240.59,1,25.84,183,478.36,16.18,True,True,False
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,25.65,23.51,18.53,6.57,7.02,1074961.2,2004185.6,51407361.0,47124416.0,23.32,34,86.27,16,373.25,3,160.95,5.48,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,87.43,69.68,71.29,5.54,6.98,3108716.5,2466832.966666667,215675206.0,171896322.0,29.95,21,-2.06,235,400.17,2,142.69,3.24,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.19,36.93,30.96,7.4,7.26,1925225.6,1536009.6666666667,55588190.0,56721765.0,6.76,127,135.31,3,244.67,7,128.91,2.33,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,12.19,11.35,10.71,6.28,6.84,2676902.0,2705330.8333333335,32977983.0,30707759.0,13.82,74,30.58,89,317.47,4,120.62,2.02,False,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,29.35,22.31,18.23,6.81,6.73,10596286.6,9652868.266666668,283311684.0,215386058.0,66.19,4,111.23,6,180.06,16,119.16,9.06,True,True,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,30.7,21.1,19.0,5.9,5.34,3002067.0,1694170.2666666666,52011027.0,35751510.0,54.85,5,102.77,9,172.16,17,109.93,11.54,True,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,188.65,178.97,148.26,4.31,4.83,3441808.7,3951071.966666667,745369727.0,707135862.0,8.28,111,132.13,4,185.44,15,108.62,5.64,False,True,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.3,15.12,14.98,5.16,6.69,1956316.0,2442127.4,34922422.0,36927815.0,-11.78,336,20.37,119,300.56,5,103.05,-0.68,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,38.65,33.06,30.64,5.15,5.36,2751088.5,2060959.6333333333,79656090.0,68144600.0,19.96,43,102.89,8,166.55,20,96.47,4.88,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,58.4,50.2,52.45,7.62,7.55,1108375.6,836089.9,48827650.0,41973525.0,19.55,45,11.52,166,245.77,6,92.28,1.5,False,False,True
RNG,"RingCentral, Inc.",NYSE,Packaged Software,79.73,69.52,62.02,4.27,4.2,1594714.5,1472773.3,117424215.0,102383272.0,22.17,38,127.54,5,125.54,40,91.75,6.8,False,True,False
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,13.95,10.84,9.17,7.73,8.3,26429697.9,25690474.833333332,358382124.0,278394831.0,32.6,17,74.37,23,165.71,21,90.9,6.28,True,True,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.27,1.01,0.89,16.99,12.31,28136554.3,65027133.2,82584459.0,65492944.0,101.81,2,74.24,24,88.15,69,88.06,3.49,True,False,False
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,196.62,162.66,155.11,4.58,4.85,4332720.7,4053986.066666667,797094740.0,659416644.0,44.87,8,65.48,31,153.08,27,87.81,5.52,True,False,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.97,2.58,2.53,5.35,5.62,29688679.000000037,23177960.233333334,68838542.0,59884123.0,17.86,50,41.43,65,200.0,12,86.43,3.13,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,548.92,497.64,467.98,5.93,5.88,9816910.799999997,8875152.1,4871748491.0,4416636608.0,24.94,29,30.15,92,200.43,11,85.17,2.94,False,False,True
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,18.55,15.39,14.47,5.71,5.38,8688312.3,6251395.833333333,115963393.0,96202730.0,28.37,24,95.06,14,122.96,45,82.13,5.24,False,True,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,117.5,115.13,109.23,4.57,4.4,2610617.5,1403147.6333333333,164876863.0,161541815.0,-3.27,217,45.86,61,203.16,10,81.92,1.72,False,False,True
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,250.06,217.38,209.57,4.68,5.12,12833646.2,11173216.533333333,2793974526.0,2428859881.0,30.96,19,46.99,60,161.04,22,79.66,3.77,True,False,True
GTLB,GitLab Inc.,NASDAQ,Packaged Software,48.82,45.51,40.94,4.55,4.52,3749727.8,5244562.3,256039531.0,238680030.0,15.55,61,80.21,18,140.37,34,78.71,4.26,False,True,False
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,33.0,32.68,27.48,4.57,5.43,1590102.4,2981301.8333333335,98382960.0,97430931.0,-17.08,391,102.33,10,143.18,31,76.15,3.7,False,True,False
GRAL,"GRAIL, Inc.",NASDAQ,Medical Specialties,108.52,78.96,75.41,4.88,5.99,1744260.6,988948.2,107320659.0,78088668.0,37.58,12,75.49,21,114.04,48,75.7,7.33,True,True,False
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,363.46,296.55,303.96,5.53,6.61,4456964.0,3825395.2666666666,1390378164.0,1134419691.0,23.71,33,-9.52,273,210.2,8,74.79,2.96,False,False,True
NEO,"NeoGenomics, Inc.",NASDAQ,Medical/Nursing Services,18.89,17.56,16.51,4.14,4.25,2106282.9,1825888.7333333334,34491038.0,32065954.0,13.8,75,62.15,36,147.58,28,74.51,3.39,False,False,False
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,21.05,18.17,15.4,4.2,4.84,1895846.4,2250714.433333333,47377539.0,40890980.0,12.93,80,99.15,12,103.78,57,71.95,7.57,False,True,False
AYA,Aya Gold & Silver Inc.,NASDAQ,Precious Metals,30.38,27.8,25.15,4.54,5.55,1567838.9,1257602.5666666667,38205966.0,34963028.0,9.71,99,76.83,20,123.05,44,69.87,3.74,False,True,False
RBRK,"Rubrik, Inc.",NYSE,Information Technology Services,111.87,98.18,90.43,4.78,5.33,3688796.5,3725082.4,416724968.0,365724865.0,15.19,66,52.35,53,141.62,32,69.72,4.45,False,False,False
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,57.09,57.8,52.16,4.63,5.04,421724.7,613875.3333333334,35046143.0,35482915.0,-4.47,236,65.96,30,141.09,33,67.53,1.88,False,False,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,56.58,52.68,54.49,4.09,5.91,1381718.6,1468170.3333333333,83069077.0,77335872.0,9.21,103,-15.55,310,208.84,9,67.5,0.65,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1887.04,1594.96,1505.48,4.98,6.25,10098858.2,12235942.933333334,23089713753.0,19515821187.0,17.59,52,-5.06,248,188.54,13,67.02,4.06,False,False,True
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,52.13,43.24,39.46,4.98,4.79,1333635.8,1077608.5,56175731.0,46600820.0,44.09,9,96.87,13,56.78,121,65.91,6.71,True,True,False
